sap;descricao;unidade;preco_unitario
TR/112-S;INST TR. AER. 112KVA TRIF.6/13KV-Serial.;UN;0.0
TR/112TS;TR/112TS INST TR. AER 112.5KVA TRIF. 13;UN;0.0
TR/15-1;TR/15-1  INST TRAFO AEREO 15 KVA MONO 6;UN;0.0
TR/15-2;TR/15-2  INST TRAFO AEREO 15 KVA MONO 6;UN;0.0
TR/15-3;TR/15-3  INST TRAFO AEREO 15 KVA TRIF.;UN;0.0
TR/15-4;TR/15-4  RET  TRAFO AEREO 15 KVA TRIF.6;UN;0.0
TR/15-4S;INST TR. AER. 15 KVA TRIF.6/13KV-Serial.;UN;0.0
TR/15-5;TR/15-5  INST TRAFO AEREO 15 KVA DIST.;UN;0.0
TR/15-6;TR/15-6 RET TRAFO AÉREO 15KVA TRIF.13KV;UN;0.0
TR/15-7;TR/15-7   RET TRAFO AEREO 15 KVA DIST. R;UN;0.0
TR/150-4;TR/150-4 RET TRAFO AEREO 150 KVA TRIF;UN;0.0
TR/150TS;TR/150TS INST TR. AER 150KVA TRIF. 13 KV;UN;0.0
TR/20-1;TR/20-1  RET  TRAFO AEREO 20 KVA MONO 6;UN;0.0
TR/20-2;TR/20-2  RET  TRAFO AEREO 20 KVA MONO 6;UN;0.0
TR/20-3;TR/20-3  INST TRAFO AEREO 20 KVA TRIF.;UN;0.0
TR/20-4;TR/20-4  INST TRAFO AEREO 20 KVA TRIF.6;UN;0.0
TR/225-4;TR/225-4 RET TRAFO AÉREO 225 KVA TRIF;UN;0.0
TR/25-1;TR/25-1  INST TRAFO AEREO 25 KVA MONO 6;UN;0.0
TR/25-2;TR/25-2  INST TRAFO AEREO 25 KVA MONO 6;UN;0.0
TR/25-3;TR/25-3  INST TRAFO AEREO 25 KVA TRIF.;UN;0.0
TR/25-4;TR/25-4  INST TRAFO AEREO 25 KVA TRIF.6;UN;0.0
TR/30-3;TR/30-3  RET  TRAFO AEREO 30 KVA TRIF.6;UN;0.0
TR/30-3S;INST TR. ERA. 30 KVA TRIF.6/13KV-Serial.;UN;0.0
TR/30-4;TR/30-4  RET  TRAFO AEREO 30 KVA TRIF.;UN;0.0
TR/300-4;TR/300-4 RET TRAFO AÉREO 13KVA TRIF;UN;0.0
TR/45-3;TR/45-3  RET  TRAFO AEREO 45 KVA TRIF.6;UN;0.0
TR/45-3S;NST TR. AER. 45 KVA TRIF.6/13KV-Serial.;UN;0.0
TR/45-4;TR/45-4  RET  TRAFO AEREO 45 KVA TRIF.;UN;0.0
TR/45TS;TR/45TS  INST TR. AER 45 KVA TRIF. 13 KV;UN;0.0
TR/5-1;TR/5-1   INST TRAFO AEREO 5 KVA MONO 6;UN;0.0
TR/5-2;TR/5-2   INST TRAFO AEREO 5 KVA MONO 6/;UN;0.0
TR/5-3;TR/5-3   INST TRAFO AEREO 5 KVA TRIF 6;UN;0.0
TR/5-4;TR/5-4   INST TRAFO AEREO 5KVA TRIF. 6/;UN;0.0
TR/5-5;TR/5-5   INST TRAFO AEREO 5 KVA DIST. R;UN;0.0
TR/5-6;TR/5-6   RET TRAFO AEREO 5 KVA DIST. RUR;UN;0.0
TR/50-3;TR/50-3  INST TRAFO AEREO 50 KVA TRIF.6;UN;0.0
TR/50-4;TR/50-4  INST TRAFO AEREO 50 KVA TRIF.6;UN;0.0
TR/75-1;TR/75-1  INST TRAFO AEREO 75 KVA MONO 6;UN;0.0
TR/75-2;TR/75-2  RET  TRAFO AEREO 75 KVA MONO 6;UN;0.0
TR/75-2S;NST TR. AER. 75 KVA MONO 6/13KV-Serial.;UN;0.0
TR/75-3;TR/75-3  RET  TRAFO AEREO 75 KVA TRIF.6;UN;0.0
TR/75-3S;INST TR. AER. 75 KVA TRIF.6/13KV-Serial.;UN;0.0
TR/75-4;TR/75-4  RET  TRAFO AEREO 75 KVA TRIF.;UN;0.0
TR/75TS;TR/75TS  INST TR. AER 75 KVA TRIF. 13 KV;UN;0.0
TR/AP-45;TR/AP-45 RET  TRAFO AEREO 45 KVA AUTO-P;UN;0.0
TR/AP-75;TR/AP-75 RET  TRAFO AEREO 75 KVA AUTO-P;UN;0.0
TR/AP45B;TR/AP45B RET TRAFO AER 45KVA AP C/BLIND;UN;0.0
TR/AP75B;TR/AP75B RET TRAFO AER 75KVA AP C/BLIND;UN;0.0
TR100-2S;TR100-2S INST TRAFO AEREO 100KVA MONO 6;UN;0.0
13RGDF3P;13RGDF3P INST REGUL DELTA FECH 3 POSTES;UN;0.0
13RGDFPL;13RGDFPL INST REG DELT FECHADO PLATAFORM;UN;0.0
25RGDFPL;25RGDFPL INST REGULADOR DELTA FECHADO PL;UN;0.0
C1;C1       INST CAPACITOR MONOF.100KVAR 7;UN;0.0
C2;C2       INST CAPACITOR MONOF.200KVAR 7;UN;0.0
C3;C3       INST CAPACITOR MONOF.100KVAR 8;UN;0.0
C4;C4       INST CAPACITOR MONOF.200KVAR 8;UN;0.0
CAJ;CAJ      INST CAIXA DE JUNCAO;UN;0.0
CCTE;CCTE     INST CAIXA CONTROLE TENSAO COR;UN;0.0
CG-34;CG-34 INST CHAVE 3Ø OP.CARGA SF6 34,5KV;UN;0.0
CG13;CG13 INST CHAVE INTERRUP.TRIPOLAR SF6 13;UN;0.0
CHO;CHO      INST CHAVE OLEO AUTOM.P/CAPACI;UN;0.0
CM-BR-CV;CM-BR-CV INST CONJ MED COMP B. RENDA RED;UN;0.0
CM/400;CM/400   INST CONJ. MED. TRIF. TC ATE 4;UN;0.0
CM/50;CM/50    INST CONJ. MED. TRIF. TC ATE 5;UN;0.0
CM01;CM01 INST MED.FATURAMENTO DE E.E. 40/5A;UN;0.0
CM02;CM02 INST MED.FATURAMENTO DE E.E. 30/5A;UN;0.0
CM03;CM03 INST MED.FATURAMENTO DE E.E. 15/5A;UN;0.0
CM04;CM04 INST MED.FATURAMENTO DE E.E. 100/5A;UN;0.0
CM05;CM05 INST MD FATUR ENCAPSULADO MT 40/5A;UN;0.0
CM06;CM06 INST MD FATUR ENCAPSULADO MT 30/5A;UN;0.0
CM07;CM07 INST MD FATUR ENCAPSULADO MT 15/5A;UN;0.0
CM08;CM08 INST MD FATUR ENCAPSULADO MT 100/5A;UN;0.0
CM100200;CM-100/200 INST CONJ MD FRO MT 100/200-5;UN;0.0
CMC-25-1;CMC-25-1 INST CONJ MED COMP REDE CONV;UN;0.0
CPST/112;CPST/112 RET  CJ.PROT.SEC.P/TR.112.5KVA;UN;0.0
CPST/75;CPST/75  RET  CONJ.PROT.SEC.P/TR. 75KVA;UN;0.0
CTS;CTS      INST CAIXA DE CONTROLE TIME SW;UN;0.0
