sap;descricao;unidade;custo_un;normas
15478/FA;15478/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15478/FC;15478/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15478/FG;15478/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15478/FP;15478/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15479;15479 INST CAIXA DE INSPEÇÃO DESº 15479;UN;0.0;
15479/CA;15479/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15479/CC;15479/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15479/CG;15479/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15479/CP;15479/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
15479/FA;15479/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15479/FC;15479/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15479/FG;15479/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15479/FP;15479/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15479/NG;15479/NG INST CAIXA/INSPECAO-NORTE/GRAM;UN;0.0;
15479/SA;15479/SA INST CAIXA/INSPECAO-GRANDE RIO;UN;0.0;
15481;15481 INST CAIXA DE INSPEÇÃO DESº 15481;UN;0.0;
15481/CA;15481/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15481/CC;15481/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15481/CG;15481/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15481/CP;15481/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
15481/FA;15481/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15481/FC;15481/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15481/FG;15481/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15481/FP;15481/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15482;15482 INST CAIXA DE INSPEÇÃO DESº 15482;UN;0.0;
15482/CA;15482/CA INST CAIXA/INSPECAO-CENTRO/ASF;UN;0.0;
15482/CC;15482/CC INST CAIXA/INSPECAO-CENTRO/CIM;UN;0.0;
15482/CG;15482/CG INST CAIXA/INSPECAO-CENTRO/GRA;UN;0.0;
15482/CP;15482/CP INST CAIXA/INSPECAO-CENTRO/PAR;UN;0.0;
15482/FA;15482/FA INST CAIXA/INSPECAO-VALE/ASFAL;UN;0.0;
15482/FC;15482/FC INST CAIXA/INSPECAO-VALE/CIMEN;UN;0.0;
15482/FG;15482/FG INST CAIXA/INSPECAO-VALE/GRAMA;UN;0.0;
15482/FP;15482/FP INST CAIXA/INSPECAO-VALE/PARAL;UN;0.0;
15483;15483 INST CT SUBTERRÂNEA DESº 15483;UN;0.0;
15483/A;15483/A  INST CT DES. 15483/ASFALTO;UN;0.0;
